report_date,fromprovince_new,toprovince_new,externallane_new,client_name,mau,avg_lt_prepickup_hour,avg_lt_firstmile_hour,avg_lt_middlemile_hour,avg_lt_lastmile_hour,avg_lt_e2e_hour
2026-08-14,Hà Nội,Hồ Chí Minh,Cross metro,SPE,4495,3.62,8.18,50.38,11.22,73.4
2026-08-14,Hà Nội,Lào Cai,Intra region,SPB,287,4.02,11.59,17.52,11.81,45.11
2026-08-14,Hà Nội,Lào Cai,Intra region,SPE,1764,3.18,10.33,18.73,15.26,47.65
2026-08-14,Hà Nội,Lâm Đồng,Cross region,SPB,492,3.4,8.19,50.58,15.49,77.79
2026-08-14,Hà Nội,Lâm Đồng,Cross region,SPE,2376,3.34,9.68,51.22,13.64,78.03
2026-08-14,Hà Nội,Nghệ An,Cross region,SPB,440,3.64,9.59,23.14,19.79,56.26
2026-08-14,Hà Nội,Nghệ An,Cross region,SPE,2605,3.37,10.54,25.12,24.61,63.7
2026-08-14,Hà Nội,Ninh Bình,Intra region,SPB,730,3.31,10.23,13.01,12.26,39.07
2026-08-14,Hà Nội,Ninh Bình,Intra region,SPE,3699,3.47,9.86,13.41,10.15,37.16
2026-08-14,Hà Nội,Phú Thọ,Intra region,SPB,621,3.84,9.86,13.96,12.81,40.8
2026-08-14,Hà Nội,Phú Thọ,Intra region,SPE,4076,3.48,10.25,12.81,11.41,38.09
2026-08-14,Hà Nội,Quảng Ninh,Intra region,SPB,488,3.32,10.79,19.36,14.84,48.15
2026-08-14,Hà Nội,Quảng Ninh,Intra region,SPE,2152,3.41,10.28,15.58,16.46,45.99
2026-08-14,Hà Nội,Thanh Hóa,Intra region,SPB,553,3.76,10.35,17.92,17.56,49.59
2026-08-14,Hà Nội,Thanh Hóa,Intra region,SPE,3451,3.56,10.17,19.94,19.53,53.35
2026-08-14,Hà Nội,Tây Ninh,Cross region,SPB,312,3.3,9.01,48.62,20.78,81.59
2026-08-14,Hà Nội,Tây Ninh,Cross region,SPE,1970,3.3,9.8,47.07,20.48,80.8
2026-08-14,Hà Nội,Đà Nẵng,Cross metro *,SPB,597,2.7,9.45,33.05,17.69,63.0
2026-08-14,Hà Nội,Đà Nẵng,Cross metro *,SPE,1140,3.39,8.22,32.86,16.17,60.68
2026-08-14,Hà Nội,Đắk Lắk,Cross region,SPB,325,3.12,9.0,43.57,16.43,72.27
2026-08-14,Hà Nội,Đắk Lắk,Cross region,SPE,1809,3.29,9.68,46.27,11.74,71.38
2026-08-14,Hà Nội,Đồng Nai,Cross region,SPB,547,2.75,9.21,48.6,15.18,75.72
2026-08-14,Hà Nội,Đồng Nai,Cross region,SPE,3032,3.3,9.64,52.03,15.11,80.23
2026-08-14,Hồ Chí Minh,An Giang,Intra region,SPB,1215,4.0,8.66,18.5,14.85,45.93
2026-08-14,Hồ Chí Minh,An Giang,Intra region,SPE,3815,4.13,9.54,17.69,16.49,47.75
2026-08-14,Hồ Chí Minh,Cà Mau,Intra region,SPB,558,4.76,8.03,14.45,16.65,44.04
2026-08-14,Hồ Chí Minh,Cà Mau,Intra region,SPE,1888,4.12,9.71,14.99,13.57,42.45
2026-08-14,Hồ Chí Minh,Cần Thơ,Intra region,SPB,988,4.26,7.2,13.54,12.48,37.59
2026-08-14,Hồ Chí Minh,Cần Thơ,Intra region,SPE,3185,4.13,9.76,14.0,12.72,40.63
2026-08-14,Hồ Chí Minh,Gia Lai,Cross region,SPB,487,4.56,6.88,31.21,15.17,58.13
2026-08-14,Hồ Chí Minh,Gia Lai,Cross region,SPE,1526,4.02,9.2,31.12,12.1,56.38
2026-08-14,Hồ Chí Minh,Hà Nội,Cross metro,SPB,1765,4.34,6.95,47.41,13.58,72.57
2026-08-14,Hồ Chí Minh,Hà Nội,Cross metro,SPE,1859,3.83,7.48,48.26,13.61,73.06
2026-08-14,Hồ Chí Minh,Hải Phòng,Cross region,SPB,430,4.43,6.78,49.3,17.15,77.64
2026-08-14,Hồ Chí Minh,Hải Phòng,Cross region,SPE,1648,4.05,9.1,50.35,17.33,80.63
2026-08-14,Hồ Chí Minh,Hồ Chí Minh,Intra city,SPB,7120,4.87,7.39,12.34,7.92,27.49
2026-08-14,Hồ Chí Minh,Hồ Chí Minh,Intra city,SPE,4650,3.24,7.96,13.63,11.03,35.83
2026-08-14,Hồ Chí Minh,Khánh Hòa,Cross region,SPB,608,4.38,7.87,24.68,16.58,53.74
2026-08-14,Hồ Chí Minh,Khánh Hòa,Cross region,SPE,1097,4.25,8.99,26.1,12.93,52.02
2026-08-14,Hồ Chí Minh,Lâm Đồng,Cross region,SPB,1219,4.7,8.2,18.9,14.27,46.12
2026-08-14,Hồ Chí Minh,Lâm Đồng,Cross region,SPE,2768,4.17,9.6,18.07,12.65,44.46
2026-08-14,Hồ Chí Minh,Ninh Bình,Cross region,SPB,316,4.41,6.72,42.35,11.88,65.99
2026-08-14,Hồ Chí Minh,Ninh Bình,Cross region,SPE,1394,3.81,9.45,45.45,12.0,70.43
2026-08-14,Hồ Chí Minh,Tây Ninh,Intra region,SPB,1264,4.11,7.29,11.98,17.37,40.79
2026-08-14,Hồ Chí Minh,Tây Ninh,Intra region,SPE,3201,4.2,9.28,10.43,15.7,39.4
2026-08-14,Hồ Chí Minh,Vĩnh Long,Intra region,SPB,828,4.23,7.68,13.35,16.13,41.49
2026-08-14,Hồ Chí Minh,Vĩnh Long,Intra region,SPE,2545,4.03,9.36,13.44,15.72,42.57
2026-08-14,Hồ Chí Minh,Đà Nẵng,Cross metro *,SPB,798,4.18,8.1,33.73,15.61,61.52
2026-08-14,Hồ Chí Minh,Đà Nẵng,Cross metro *,SPE,774,3.91,7.39,33.89,15.36,60.52
2026-08-14,Hồ Chí Minh,Đắk Lắk,Cross region,SPB,508,4.22,8.15,27.85,14.54,55.0
2026-08-14,Hồ Chí Minh,Đắk Lắk,Cross region,SPE,1618,4.22,8.97,26.71,14.33,54.08
2026-08-14,Hồ Chí Minh,Đồng Nai,Intra region,SPB,1906,4.25,7.85,14.17,11.94,38.31
2026-08-14,Hồ Chí Minh,Đồng Nai,Intra region,SPE,4804,4.15,9.34,14.31,14.15,41.91
2026-08-14,Hồ Chí Minh,Đồng Tháp,Intra region,SPB,927,3.94,7.49,12.95,14.89,39.48
2026-08-14,Hồ Chí Minh,Đồng Tháp,Intra region,SPE,2524,4.05,9.14,12.9,13.77,39.87
2026-08-14,Lâm Đồng,Lạng Sơn,Cross region,SPB,1,0.05,,,6.5,77.15
2026-08-14,Điện Biên,Gia Lai,Cross region,SPE,1,1.7,,,22.58,82.07
2026-08-14,Điện Biên,Hà Tĩnh,Cross region,SPE,1,0.12,,,11.07,122.98
2026-08-14,Điện Biên,Hưng Yên,Intra region,SPE,1,0.12,,,6.2,51.43
2026-08-14,Điện Biên,Lạng Sơn,Intra region,SPE,1,0.12,,,5.7,69.35
2026-08-14,Điện Biên,Quảng Ngãi,Cross region,SPE,1,0.12,,,10.82,99.58
2026-08-14,Điện Biên,Quảng Ninh,Intra region,SPE,1,1.7,,,6.07,77.82
2026-08-14,Điện Biên,Đắk Lắk,Cross region,SPE,1,1.7,,,3.93,100.65
2026-08-14,Đà Nẵng,Hà Nội,Cross metro *,SPB,98,5.92,7.46,30.77,13.56,57.69
2026-08-14,Đà Nẵng,Hà Nội,Cross metro *,SPE,39,0.56,8.74,34.52,14.89,58.58
2026-08-14,Đà Nẵng,Hồ Chí Minh,Cross metro *,SPB,151,6.18,6.76,36.09,11.58,60.69
2026-08-14,Đà Nẵng,Hồ Chí Minh,Cross metro *,SPE,63,1.5,10.83,37.04,12.0,61.22
2026-08-14,Đồng Tháp,Cao Bằng,Cross region,SPB,1,0.02,,,7.18,126.13
2026-08-14,Đồng Tháp,Lạng Sơn,Cross region,SPB,1,10.37,,,2.73,108.1
2026-08-13,,,,SPB,9,3.31,15.64,29.87,16.6,65.44
2026-08-13,,,,SPE,33,3.01,10.01,37.22,20.09,70.03
2026-08-13,Bắc Ninh,Hà Nội,Intra region,SPB,665,8.26,6.21,12.6,14.64,41.89
2026-08-13,Bắc Ninh,Hà Nội,Intra region,SPE,1880,6.37,10.28,11.58,11.65,39.8
2026-08-13,Cao Bằng,Gia Lai,Cross region,SPE,1,,,50.25,21.5,109.28
2026-08-13,Hà Nội,An Giang,Cross region,SPB,392,3.32,9.8,56.77,17.72,87.66
2026-08-13,Hà Nội,An Giang,Cross region,SPE,3074,3.57,10.05,56.13,17.93,87.75
2026-08-13,Hà Nội,Bắc Ninh,Intra region,SPB,733,4.74,12.15,13.4,17.04,47.19
2026-08-13,Hà Nội,Bắc Ninh,Intra region,SPE,4509,3.69,9.92,11.9,16.61,42.26
2026-08-13,Hà Nội,Cần Thơ,Cross region,SPB,306,3.95,11.76,49.67,19.44,85.2
2026-08-13,Hà Nội,Cần Thơ,Cross region,SPE,2791,3.65,10.14,50.52,17.57,81.89
2026-08-13,Hà Nội,Gia Lai,Cross region,SPB,312,3.43,10.97,40.24,14.25,68.74
2026-08-13,Hà Nội,Gia Lai,Cross region,SPE,2469,3.59,9.47,43.1,10.68,66.76
2026-08-13,Hà Nội,Hà Nội,Intra city,SPB,3052,5.59,13.06,13.5,10.85,39.44
2026-08-13,Hà Nội,Hà Nội,Intra city,SPE,2736,3.19,9.23,13.11,12.29,38.2
2026-08-13,Hà Nội,Hưng Yên,Intra region,SPB,608,3.49,11.95,13.7,12.56,41.76
2026-08-13,Hà Nội,Hưng Yên,Intra region,SPE,3878,3.61,10.13,12.47,14.49,40.69
2026-08-13,Hà Nội,Hải Phòng,Intra region,SPB,968,3.84,11.37,16.2,16.57,48.04
2026-08-13,Hà Nội,Hải Phòng,Intra region,SPE,5250,3.51,9.86,13.72,15.5,42.56
2026-08-13,Hà Nội,Hồ Chí Minh,Cross metro,SPB,2326,4.06,11.3,48.58,13.96,77.97
2026-08-13,Hà Nội,Hồ Chí Minh,Cross metro,SPE,4921,4.13,8.4,50.38,11.33,74.25
2026-08-13,Hà Nội,Lào Cai,Intra region,SPB,249,4.07,11.26,18.75,13.92,47.79
2026-08-13,Hà Nội,Lào Cai,Intra region,SPE,1975,3.67,10.35,18.35,16.43,48.64
2026-08-13,Hà Nội,Lâm Đồng,Cross region,SPB,534,3.3,10.37,48.99,16.37,78.99
2026-08-13,Hà Nội,Lâm Đồng,Cross region,SPE,3174,3.32,9.93,51.33,14.02,78.58
2026-08-13,Hà Nội,Nghệ An,Cross region,SPB,461,4.88,11.42,25.77,21.37,63.23
2026-08-13,Hà Nội,Nghệ An,Cross region,SPE,3311,3.77,10.14,26.56,25.26,65.72
2026-08-13,Hà Nội,Ninh Bình,Intra region,SPB,745,4.6,10.8,13.73,12.94,42.06
2026-08-13,Hà Nội,Ninh Bình,Intra region,SPE,4502,3.67,10.08,13.02,9.99,36.65
2026-08-13,Hà Nội,Phú Thọ,Intra region,SPB,695,4.08,11.44,14.91,12.39,42.64
2026-08-13,Hà Nội,Phú Thọ,Intra region,SPE,4773,3.78,10.18,13.08,12.18,39.17
2026-08-13,Hà Nội,Quảng Ninh,Intra region,SPB,396,3.62,11.4,20.22,14.42,49.45
2026-08-13,Hà Nội,Quảng Ninh,Intra region,SPE,2676,3.66,10.38,15.35,17.24,46.45
2026-08-13,Hà Nội,Thanh Hóa,Intra region,SPB,633,4.57,11.02,21.17,18.74,55.62
2026-08-13,Hà Nội,Thanh Hóa,Intra region,SPE,4233,3.45,10.2,21.05,19.48,54.25
2026-08-13,Hà Nội,Tây Ninh,Cross region,SPB,331,3.57,9.99,47.57,21.01,81.96
2026-08-13,Hà Nội,Tây Ninh,Cross region,SPE,2440,3.64,10.04,47.03,21.76,82.64
2026-08-13,Hà Nội,Đà Nẵng,Cross metro *,SPB,600,4.31,10.53,31.73,16.68,63.23
2026-08-13,Hà Nội,Đà Nẵng,Cross metro *,SPE,1187,3.37,8.76,33.42,16.0,61.66
2026-08-13,Hà Nội,Đắk Lắk,Cross region,SPB,329,3.19,10.48,43.9,16.3,73.92
2026-08-13,Hà Nội,Đắk Lắk,Cross region,SPE,2332,3.41,9.89,44.74,11.63,69.57
2026-08-13,Hà Nội,Đồng Nai,Cross region,SPB,574,3.44,10.47,49.1,17.7,80.75
2026-08-13,Hà Nội,Đồng Nai,Cross region,SPE,3720,3.69,9.89,52.93,17.32,83.75
2026-08-13,Hồ Chí Minh,An Giang,Intra region,SPB,1340,4.64,9.12,20.01,15.44,49.36
2026-08-13,Hồ Chí Minh,An Giang,Intra region,SPE,4894,3.82,9.29,17.13,16.74,46.68
2026-08-13,Hồ Chí Minh,Cà Mau,Intra region,SPB,575,4.22,8.72,15.17,15.74,44.02
2026-08-13,Hồ Chí Minh,Cà Mau,Intra region,SPE,2457,3.6,9.24,14.79,14.71,42.05
2026-08-13,Hồ Chí Minh,Cần Thơ,Intra region,SPB,1070,4.65,8.28,13.28,12.96,39.32
2026-08-13,Hồ Chí Minh,Cần Thơ,Intra region,SPE,4456,3.66,9.09,13.0,12.55,38.07
2026-08-13,Hồ Chí Minh,Gia Lai,Cross region,SPB,532,5.34,7.09,30.15,14.81,57.97
2026-08-13,Hồ Chí Minh,Gia Lai,Cross region,SPE,2147,3.67,9.34,30.65,12.33,55.75
2026-08-13,Hồ Chí Minh,Hà Nội,Cross metro,SPB,1902,5.26,7.88,48.3,15.72,77.66
2026-08-13,Hồ Chí Minh,Hà Nội,Cross metro,SPE,1976,4.04,8.12,49.24,14.44,75.69
2026-08-13,Hồ Chí Minh,Hải Phòng,Cross region,SPB,418,5.09,8.3,48.69,19.08,81.37
2026-08-13,Hồ Chí Minh,Hải Phòng,Cross region,SPE,2178,3.72,8.81,50.25,21.16,83.78
2026-08-13,Hồ Chí Minh,Hồ Chí Minh,Intra city,SPB,7524,6.26,8.48,12.04,7.4,28.5
2026-08-13,Hồ Chí Minh,Hồ Chí Minh,Intra city,SPE,5399,3.79,8.34,13.59,10.08,35.86
2026-08-13,Hồ Chí Minh,Khánh Hòa,Cross region,SPB,579,5.46,7.75,24.89,16.26,54.44
2026-08-13,Hồ Chí Minh,Khánh Hòa,Cross region,SPE,1598,3.66,9.09,23.41,14.18,50.14
2026-08-13,Hồ Chí Minh,Lâm Đồng,Cross region,SPB,1229,5.18,8.96,20.37,15.3,49.95
2026-08-13,Hồ Chí Minh,Lâm Đồng,Cross region,SPE,3771,3.76,8.99,20.9,13.88,47.29
2026-08-13,Hồ Chí Minh,Ninh Bình,Cross region,SPB,327,6.18,8.27,45.33,15.48,75.88
2026-08-13,Hồ Chí Minh,Ninh Bình,Cross region,SPE,1887,3.48,9.76,44.86,13.46,71.29
2026-08-13,Hồ Chí Minh,Tây Ninh,Intra region,SPB,1216,4.59,8.17,11.89,17.78,42.74
2026-08-13,Hồ Chí Minh,Tây Ninh,Intra region,SPE,4328,3.51,9.04,10.43,13.22,36.0
2026-08-13,Hồ Chí Minh,Vĩnh Long,Intra region,SPB,899,4.18,7.57,13.24,14.14,39.63
2026-08-13,Hồ Chí Minh,Vĩnh Long,Intra region,SPE,3523,3.51,8.79,12.88,14.71,39.68
2026-08-13,Hồ Chí Minh,Đà Nẵng,Cross metro *,SPB,940,5.16,7.36,33.94,14.74,61.33
2026-08-13,Hồ Chí Minh,Đà Nẵng,Cross metro *,SPE,867,3.58,7.97,33.93,13.7,59.18
2026-08-13,Hồ Chí Minh,Đắk Lắk,Cross region,SPB,537,5.89,7.95,27.04,17.06,58.34
2026-08-13,Hồ Chí Minh,Đắk Lắk,Cross region,SPE,2238,3.66,8.73,25.91,14.72,52.94
2026-08-13,Hồ Chí Minh,Đồng Nai,Intra region,SPB,1913,5.11,8.08,14.01,14.15,41.53
2026-08-13,Hồ Chí Minh,Đồng Nai,Intra region,SPE,6779,3.63,9.05,13.56,13.6,39.65
2026-08-13,Hồ Chí Minh,Đồng Tháp,Intra region,SPB,938,4.99,8.02,12.75,13.89,40.02
2026-08-13,Hồ Chí Minh,Đồng Tháp,Intra region,SPE,3585,3.73,8.95,12.6,13.86,39.13
2026-08-13,Lâm Đồng,Ninh Bình,Cross region,SPB,1,0.1,,,10.07,80.85
2026-08-13,Lạng Sơn,Thái Nguyên,Intra region,SPB,1,2.05,,,9.42,46.17
2026-08-13,Sơn La,Cà Mau,Cross region,SPE,1,,,,8.3,94.73
2026-08-13,Sơn La,Huế,Cross region,SPE,1,,,,4.78,66.92
2026-08-13,Sơn La,Quảng Ngãi,Cross region,SPE,1,,,43.72,2.07,90.28
2026-08-13,Điện Biên,Vĩnh Long,Cross region,SPE,1,0.98,,,31.35,131.47
2026-08-13,Đà Nẵng,Hà Nội,Cross metro *,SPB,101,6.27,5.13,30.38,17.48,59.31
2026-08-13,Đà Nẵng,Hà Nội,Cross metro *,SPE,34,1.08,10.33,34.11,13.7,59.24
2026-08-13,Đà Nẵng,Hồ Chí Minh,Cross metro *,SPB,114,7.15,6.97,36.43,9.98,60.58
2026-08-13,Đà Nẵng,Hồ Chí Minh,Cross metro *,SPE,68,1.97,12.03,37.96,8.43,61.1
2026-08-13,Đồng Tháp,Quảng Ninh,Cross region,SPB,4,0.07,,,10.84,80.28
2026-08-12,,,,SPB,3,3.51,4.44,19.23,22.54,80.6
2026-08-12,,,,SPE,28,2.31,9.37,37.05,22.06,70.4
2026-08-12,Bắc Ninh,Hà Nội,Intra region,SPB,691,8.41,7.83,13.65,14.26,44.17
2026-08-12,Bắc Ninh,Hà Nội,Intra region,SPE,2671,4.95,10.98,11.95,10.37,38.43
2026-08-12,Cà Mau,Hưng Yên,Cross region,SPB,1,0.1,,,4.77,72.53
2026-08-12,Gia Lai,Cần Thơ,Cross region,SPB,1,,,42.85,9.37,55.9
2026-08-12,Hà Nội,An Giang,Cross region,SPB,400,3.09,11.71,60.74,20.24,95.54
2026-08-12,Hà Nội,An Giang,Cross region,SPE,4547,2.84,10.18,58.76,18.56,90.43
2026-08-12,Hà Nội,Bắc Ninh,Intra region,SPB,799,4.09,13.82,14.04,17.73,49.63
2026-08-12,Hà Nội,Bắc Ninh,Intra region,SPE,6562,2.89,10.37,12.41,15.83,41.49
2026-08-12,Hà Nội,Cần Thơ,Cross region,SPB,342,4.17,11.35,48.08,20.32,83.89
2026-08-12,Hà Nội,Cần Thơ,Cross region,SPE,3880,2.82,10.25,50.88,18.6,82.64
2026-08-12,Hà Nội,Gia Lai,Cross region,SPB,329,3.2,9.88,41.04,13.73,68.04
2026-08-12,Hà Nội,Gia Lai,Cross region,SPE,2043,3.89,9.22,41.38,11.7,66.16
2026-08-12,Hà Nội,Hà Nội,Intra city,SPB,3298,5.62,14.54,14.2,11.34,42.05
2026-08-12,Hà Nội,Hà Nội,Intra city,SPE,2464,4.25,9.76,12.84,11.37,38.72
2026-08-12,Hà Nội,Hưng Yên,Intra region,SPB,710,4.06,11.78,13.52,15.67,44.96
2026-08-12,Hà Nội,Hưng Yên,Intra region,SPE,5413,2.96,9.91,12.45,15.18,40.54
2026-08-12,Hà Nội,Hải Phòng,Intra region,SPB,1115,4.25,11.67,18.84,16.62,51.42
2026-08-12,Hà Nội,Hải Phòng,Intra region,SPE,7405,2.98,10.35,14.94,15.16,43.5
2026-08-12,Hà Nội,Hồ Chí Minh,Cross metro,SPB,2539,4.16,11.88,48.98,12.9,77.94
2026-08-12,Hà Nội,Hồ Chí Minh,Cross metro,SPE,5294,3.89,9.14,49.7,10.43,73.24
2026-08-12,Hà Nội,Lào Cai,Intra region,SPB,299,3.96,11.17,19.99,14.97,50.03
2026-08-12,Hà Nội,Lào Cai,Intra region,SPE,2546,2.82,9.82,18.55,16.42,47.56
2026-08-12,Hà Nội,Lâm Đồng,Cross region,SPB,524,3.69,11.8,47.98,16.51,79.79
2026-08-12,Hà Nội,Lâm Đồng,Cross region,SPE,3445,3.36,9.99,49.07,13.99,76.39
2026-08-12,Hà Nội,Nghệ An,Cross region,SPB,509,4.29,11.69,24.75,23.52,64.25
2026-08-12,Hà Nội,Nghệ An,Cross region,SPE,2662,3.62,9.04,27.26,26.4,66.35
2026-08-12,Hà Nội,Ninh Bình,Intra region,SPB,844,3.9,11.89,13.94,12.42,42.26
2026-08-12,Hà Nội,Ninh Bình,Intra region,SPE,6690,2.82,9.85,12.84,10.08,35.72
2026-08-12,Hà Nội,Phú Thọ,Intra region,SPB,731,3.51,11.24,15.49,13.53,43.96
2026-08-12,Hà Nội,Phú Thọ,Intra region,SPE,6661,2.89,10.44,13.27,11.99,38.5
2026-08-12,Hà Nội,Quảng Ninh,Intra region,SPB,528,3.65,12.37,24.05,16.31,56.84
2026-08-12,Hà Nội,Quảng Ninh,Intra region,SPE,3838,2.8,10.2,17.78,17.93,48.68
2026-08-12,Hà Nội,Thanh Hóa,Intra region,SPB,691,3.46,11.73,19.77,19.44,54.64
2026-08-12,Hà Nội,Thanh Hóa,Intra region,SPE,6200,2.76,10.22,20.95,19.87,53.84
2026-08-12,Hà Nội,Tây Ninh,Cross region,SPB,335,3.47,11.11,49.72,23.11,87.05
2026-08-12,Hà Nội,Tây Ninh,Cross region,SPE,3629,2.84,10.22,47.42,22.24,82.68
2026-08-12,Hà Nội,Đà Nẵng,Cross metro *,SPB,651,3.95,11.83,31.28,17.46,64.48
2026-08-12,Hà Nội,Đà Nẵng,Cross metro *,SPE,1205,3.66,8.55,30.63,15.43,58.34
2026-08-12,Hà Nội,Đắk Lắk,Cross region,SPB,353,3.3,12.17,44.96,15.86,75.9
2026-08-12,Hà Nội,Đắk Lắk,Cross region,SPE,1923,3.62,8.88,46.08,13.19,71.75
2026-08-12,Hà Nội,Đồng Nai,Cross region,SPB,557,3.65,11.08,48.01,18.55,81.2
2026-08-12,Hà Nội,Đồng Nai,Cross region,SPE,6104,2.75,9.86,50.77,18.48,81.95
2026-08-12,Hồ Chí Minh,An Giang,Intra region,SPB,1373,3.87,10.96,20.15,16.14,51.04
2026-08-12,Hồ Chí Minh,An Giang,Intra region,SPE,7134,2.78,9.3,16.65,16.94,45.56
2026-08-12,Hồ Chí Minh,Cà Mau,Intra region,SPB,613,4.85,11.74,15.58,16.3,48.48
2026-08-12,Hồ Chí Minh,Cà Mau,Intra region,SPE,3620,2.81,9.56,14.95,13.74,41.05
2026-08-12,Hồ Chí Minh,Cần Thơ,Intra region,SPB,1075,4.21,11.88,13.39,13.99,43.64
2026-08-12,Hồ Chí Minh,Cần Thơ,Intra region,SPE,6468,2.86,9.39,13.44,12.04,37.66
2026-08-12,Hồ Chí Minh,Gia Lai,Cross region,SPB,601,5.05,13.13,31.58,15.4,65.34
2026-08-12,Hồ Chí Minh,Gia Lai,Cross region,SPE,3399,2.74,9.24,33.45,11.12,56.38
2026-08-12,Hồ Chí Minh,Hà Nội,Cross metro,SPB,2128,4.17,14.5,50.28,15.33,84.26
2026-08-12,Hồ Chí Minh,Hà Nội,Cross metro,SPE,2027,3.77,7.81,50.57,12.42,74.47
2026-08-12,Hồ Chí Minh,Hải Phòng,Cross region,SPB,509,3.8,14.92,52.04,18.79,89.65
2026-08-12,Hồ Chí Minh,Hải Phòng,Cross region,SPE,3346,2.68,8.95,52.75,19.81,84.22
2026-08-12,Hồ Chí Minh,Hồ Chí Minh,Intra city,SPB,8506,5.37,15.37,12.13,8.06,33.71
2026-08-12,Hồ Chí Minh,Hồ Chí Minh,Intra city,SPE,4957,4.08,8.32,13.97,9.67,36.18
2026-08-12,Hồ Chí Minh,Khánh Hòa,Cross region,SPB,633,4.47,13.41,26.63,16.69,61.0
2026-08-12,Hồ Chí Minh,Khánh Hòa,Cross region,SPE,2508,2.67,8.84,23.78,12.65,47.79
2026-08-12,Hồ Chí Minh,Lâm Đồng,Cross region,SPB,1442,4.73,12.67,20.31,16.0,53.59
2026-08-12,Hồ Chí Minh,Lâm Đồng,Cross region,SPE,5866,2.67,9.5,18.81,14.15,45.0
2026-08-12,Hồ Chí Minh,Ninh Bình,Cross region,SPB,375,3.85,16.58,45.89,14.37,80.38
2026-08-12,Hồ Chí Minh,Ninh Bình,Cross region,SPE,2860,2.94,9.37,46.02,13.07,71.26
2026-08-12,Hồ Chí Minh,Tây Ninh,Intra region,SPB,1389,4.53,10.6,11.86,19.89,47.06
2026-08-12,Hồ Chí Minh,Tây Ninh,Intra region,SPE,6431,2.72,9.07,10.55,13.68,35.99
2026-08-12,Hồ Chí Minh,Vĩnh Long,Intra region,SPB,1042,4.53,10.85,13.74,16.04,45.3
2026-08-12,Hồ Chí Minh,Vĩnh Long,Intra region,SPE,5144,2.71,9.17,13.19,15.21,40.27
2026-08-12,Hồ Chí Minh,Đà Nẵng,Cross metro *,SPB,1026,4.3,13.35,35.1,15.18,68.08
2026-08-12,Hồ Chí Minh,Đà Nẵng,Cross metro *,SPE,837,3.52,8.13,34.96,12.73,59.59
2026-08-12,Hồ Chí Minh,Đắk Lắk,Cross region,SPB,609,4.54,13.6,30.01,15.3,63.64
2026-08-12,Hồ Chí Minh,Đắk Lắk,Cross region,SPE,3385,2.87,9.32,27.31,14.53,53.88
2026-08-12,Hồ Chí Minh,Đồng Nai,Intra region,SPB,2144,4.56,12.06,15.49,14.07,46.16
2026-08-12,Hồ Chí Minh,Đồng Nai,Intra region,SPE,10077,2.67,9.31,13.96,13.85,39.61
2026-08-12,Hồ Chí Minh,Đồng Tháp,Intra region,SPB,1022,4.38,11.43,13.09,15.45,44.43
2026-08-12,Hồ Chí Minh,Đồng Tháp,Intra region,SPE,5304,2.7,9.2,13.74,13.65,39.21
